route,direction,departure_time,arrival_time,is_shuttle,shuttle_start,shuttle_end,valid_from,valid_to,remarks
八王子みなみ野駅,0,07:22:00,07:29:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,07:31:00,07:38:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,07:37:00,07:44:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,07:45:00,07:52:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,07:51:00,07:58:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,07:59:00,08:06:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,08:08:00,08:15:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,08:00:00,09:00:00,1,08:00:00,09:00:00,2024-04-01,,約3～5分間隔
八王子みなみ野駅,0,09:18:00,09:25:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,09:27:00,09:34:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,09:37:00,09:44:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,09:48:00,09:55:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,09:53:00,10:00:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:03:00,10:10:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:11:00,10:18:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:17:00,10:24:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:23:00,10:30:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:33:00,10:40:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:39:00,10:46:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:49:00,10:56:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,10:56:00,11:03:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,11:09:00,11:16:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,11:16:00,11:23:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,11:29:00,11:36:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,11:36:00,11:43:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,11:49:00,11:56:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,11:56:00,12:03:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:02:00,12:09:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:09:00,12:16:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:16:00,12:23:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:22:00,12:29:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:29:00,12:36:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:36:00,12:43:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:42:00,12:49:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:49:00,12:56:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,12:56:00,13:03:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,13:09:00,13:16:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,13:16:00,13:23:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,13:29:00,13:36:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,13:36:00,13:43:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,13:49:00,13:56:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,13:56:00,14:03:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,14:09:00,14:16:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,14:16:00,14:23:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,14:29:00,14:36:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,14:36:00,14:43:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,14:49:00,14:56:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,14:56:00,15:03:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,15:02:00,15:09:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,15:13:00,15:20:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,15:21:00,15:28:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,15:33:00,15:40:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,15:44:00,15:51:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,15:56:00,16:03:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,16:08:00,16:15:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,16:19:00,16:26:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,16:29:00,16:36:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,16:39:00,16:46:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,16:00:00,17:00:00,1,16:00:00,17:00:00,2024-04-01,,約3～10分間隔
八王子みなみ野駅,0,17:18:00,17:25:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,17:26:00,17:33:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,17:36:00,17:43:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,17:44:00,17:51:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,17:53:00,18:00:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,18:01:00,18:08:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,18:09:00,18:16:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,18:20:00,18:27:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,18:30:00,18:37:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,18:42:00,18:49:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,18:52:00,18:59:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,19:00:00,20:00:00,1,19:00:00,20:00:00,2024-04-01,,約5～10分間隔
八王子みなみ野駅,0,19:04:00,19:11:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,19:14:00,19:21:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,19:25:00,19:32:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,19:36:00,19:43:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,19:47:00,19:54:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,19:58:00,20:05:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,20:08:00,20:15:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,20:18:00,20:25:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,20:29:00,20:36:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,20:38:00,20:45:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,20:49:00,20:56:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,21:00:00,21:07:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,21:11:00,21:18:00,0,,,2024-04-01,,,
八王子みなみ野駅,0,21:20:00,21:27:00,0,,,2024-04-01,,,
八王子駅南口,0,07:15:00,07:30:00,0,,,2024-04-01,,,
八王子駅南口,0,07:28:00,07:40:00,0,,,2024-04-01,,,
八王子駅南口,0,07:33:00,07:45:00,0,,,2024-04-01,,,
八王子駅南口,0,07:38:00,07:50:00,0,,,2024-04-01,,,
八王子駅南口,0,07:43:00,07:55:00,0,,,2024-04-01,,,
八王子駅南口,0,08:00:00,09:00:00,1,08:00:00,09:00:00,2024-04-01,,約3～5分間隔
八王子駅南口,0,09:03:00,09:15:00,0,,,2024-04-01,,,
八王子駅南口,0,09:08:00,09:20:00,0,,,2024-04-01,,,
八王子駅南口,0,09:13:00,09:25:00,0,,,2024-04-01,,,
八王子駅南口,0,09:18:00,09:30:00,0,,,2024-04-01,,,
八王子駅南口,0,09:23:00,09:35:00,0,,,2024-04-01,,,
